iter	Logloss
0	0.6594896172
1	0.6309356962
2	0.6071636493
3	0.5842354468
4	0.5677715628
5	0.550324883
6	0.5372164842
7	0.5262279775
8	0.5159205919
9	0.5054647533
10	0.4957184943
11	0.4890888676
12	0.4806954615
13	0.4764410561
14	0.4697882943
15	0.4638997705
16	0.4592098634
17	0.4546667807
18	0.450975224
19	0.4482027435
20	0.4454984842
21	0.4424196106
22	0.4397830459
23	0.4368882976
24	0.435114648
25	0.4328138204
26	0.4312971441
27	0.4295854341
28	0.4276078353
29	0.4262123142
30	0.4247096353
31	0.4231710436
32	0.4218226679
33	0.4207236714
34	0.4197487146
35	0.4189960164
36	0.4178572878
37	0.4168963268
38	0.415600513
39	0.4149387543
40	0.4144100989
41	0.4136922566
42	0.4129315604
43	0.4122245217
44	0.4117082956
45	0.4110444359
46	0.4106542292
47	0.4099602961
48	0.4092638146
49	0.4087491762
50	0.4083350518
51	0.4078047207
52	0.4074176407
53	0.4069583743
54	0.406576307
55	0.4059469913
56	0.4055726729
57	0.4052936123
58	0.4048616552
59	0.4045311303
60	0.4040613296
61	0.403751647
62	0.4035312322
63	0.4032019624
64	0.4029276437
65	0.4025998675
66	0.402258368
67	0.4020648795
68	0.4018528092
69	0.4014411718
70	0.4010700045
71	0.4007725079
72	0.4005879714
73	0.4002674295
74	0.4001074793
75	0.3999117064
76	0.3997160103
77	0.3995044936
78	0.3993001631
79	0.3991095583
80	0.3988675287
81	0.3986300687
82	0.398453341
83	0.3982578328
84	0.3980735459
85	0.3978573763
86	0.3976992325
87	0.397450739
88	0.397275952
89	0.3971492278
90	0.3969168101
91	0.3967554371
92	0.3966124335
93	0.3965112502
94	0.3962873338
95	0.3961548641
96	0.3959424988
97	0.3957172791
98	0.3954225554
99	0.3952333405
100	0.3950379154
101	0.3948847217
102	0.3947574167
103	0.3946267213
104	0.3944636221
105	0.3943539704
106	0.3942737285
107	0.3941196075
108	0.3940025203
109	0.3937917757
110	0.3936507768
111	0.3935448866
112	0.3934031058
113	0.3932595111
114	0.3931374612
115	0.3930044356
116	0.3928319232
117	0.3925247444
118	0.3924476502
119	0.3922418131
120	0.3920954513
121	0.3919765024
122	0.39177315
123	0.391630433
124	0.3915250265
125	0.3913912262
126	0.3912384082
127	0.3909682815
128	0.3908281235
129	0.3906133697
130	0.3905037618
131	0.3903826519
132	0.3902626287
133	0.3901623183
134	0.3900629708
135	0.3899542625
136	0.3897272402
137	0.3896158241
138	0.3894734912
139	0.3892706171
140	0.3891765655
141	0.3890040184
142	0.3888401347
143	0.3887260019
144	0.3886183598
145	0.3884378181
146	0.3882981053
147	0.388159636
148	0.3879225454
149	0.3878078844
150	0.3876125952
151	0.3874994514
152	0.387429148
153	0.3872839366
154	0.3871285689
155	0.3868782673
156	0.3866952394
157	0.3865965824
158	0.3864036017
159	0.386325264
160	0.3862361553
161	0.386132145
162	0.3860142663
163	0.3859063836
164	0.3857367204
165	0.3855942683
166	0.3854658879
167	0.3853445339
168	0.3852273812
169	0.3851113809
170	0.3850275776
171	0.3848896325
172	0.3847632116
173	0.3846485368
174	0.3845353953
175	0.3844490786
176	0.384305656
177	0.384142788
178	0.384020542
179	0.3838275592
180	0.3836616304
181	0.3835338843
182	0.3833521845
183	0.3831188975
184	0.3830208999
185	0.3828864579
186	0.382748929
187	0.3826655624
188	0.3825377601
189	0.3823473007
190	0.3822355999
191	0.3821060708
192	0.3818990753
193	0.3817575681
194	0.3816745088
195	0.3814698782
196	0.3813610909
197	0.3812368577
198	0.3811331954
199	0.3809824976
