iter	Passed	Remaining
0	144	28731
1	149	14819
2	153	10085
3	157	7693
4	160	6261
5	164	5328
6	168	4654
7	172	4147
8	176	3742
9	179	3418
10	184	3168
11	188	2949
12	193	2789
13	199	2645
14	204	2523
15	209	2403
16	214	2304
17	218	2207
18	221	2114
19	226	2042
20	230	1965
21	234	1898
22	238	1837
23	243	1788
24	249	1749
25	255	1712
26	262	1680
27	266	1640
28	272	1608
29	278	1576
30	283	1543
31	287	1508
32	292	1478
33	298	1456
34	303	1428
35	309	1407
36	315	1388
37	319	1361
38	324	1340
39	329	1317
40	333	1295
41	340	1282
42	345	1260
43	350	1244
44	355	1223
45	360	1205
46	364	1187
47	369	1170
48	373	1150
49	379	1137
50	383	1119
51	388	1104
52	392	1088
53	395	1070
54	400	1055
55	405	1043
56	412	1035
57	417	1021
58	422	1009
59	426	994
60	429	979
61	434	967
62	439	954
63	442	940
64	446	927
65	450	915
66	455	904
67	460	893
68	464	881
69	469	871
70	473	860
71	477	849
72	482	839
73	487	829
74	490	818
75	495	808
76	501	800
77	505	791
78	510	781
79	515	772
80	519	763
81	523	753
82	527	743
83	532	735
84	537	726
85	540	716
86	544	707
87	549	699
88	554	691
89	558	682
90	562	674
91	568	667
92	571	657
93	576	649
94	581	642
95	584	633
96	588	624
97	591	615
98	596	608
99	601	601
100	605	593
101	610	586
102	614	578
103	619	572
104	624	564
105	631	559
106	635	552
107	640	545
108	645	538
109	649	531
110	653	524
111	659	518
112	663	510
113	667	503
114	672	496
115	676	490
116	681	483
117	685	476
118	691	470
119	696	464
120	700	457
121	705	451
122	711	445
123	714	438
124	719	431
125	724	425
126	728	418
127	733	412
128	738	406
129	742	399
130	746	393
131	752	387
132	758	381
133	762	375
134	766	368
135	770	362
136	774	356
137	779	350
138	785	344
139	792	339
140	798	334
141	806	329
142	814	324
143	821	319
144	828	314
145	834	308
146	841	303
147	844	296
148	850	290
149	854	284
150	859	278
151	862	272
152	867	266
153	872	260
154	875	254
155	879	247
156	885	242
157	890	236
158	894	230
159	898	224
160	902	218
161	906	212
162	911	206
163	915	200
164	919	195
165	925	189
166	932	184
167	938	178
168	943	172
169	948	167
170	954	161
171	960	156
172	967	150
173	971	145
174	977	139
175	983	134
176	990	128
177	996	123
178	1001	117
179	1005	111
180	1010	106
181	1018	100
182	1022	94
183	1027	89
184	1034	83
185	1038	78
186	1043	72
187	1046	66
188	1052	61
189	1056	55
190	1061	50
191	1065	44
192	1070	38
193	1075	33
194	1081	27
195	1086	22
196	1092	16
197	1098	11
198	1102	5
199	1106	0
