iter	Passed	Remaining
0	180	180610
1	216	107951
2	250	83208
3	283	70580
4	313	62292
5	343	56840
6	371	52640
7	401	49819
8	435	47953
9	464	45977
10	494	44434
11	521	42937
12	569	43226
13	602	42442
14	631	41449
15	650	39995
16	670	38763
17	692	37772
18	714	36889
19	737	36118
20	760	35459
21	782	34774
22	804	34185
23	832	33851
24	861	33594
25	888	33289
26	912	32868
27	935	32472
28	960	32147
29	985	31859
30	1010	31571
31	1030	31179
32	1047	30696
33	1069	30398
34	1090	30078
35	1116	29894
36	1140	29682
37	1166	29529
38	1189	29310
39	1215	29177
40	1241	29029
41	1268	28922
42	1292	28757
43	1316	28603
44	1338	28410
45	1361	28237
46	1383	28056
47	1406	27888
48	1428	27732
49	1453	27612
50	1477	27490
51	1502	27397
52	1531	27368
53	1557	27283
54	1581	27173
55	1603	27029
56	1628	26946
57	1653	26850
58	1682	26826
59	1708	26770
60	1734	26704
61	1758	26609
62	1781	26503
63	1806	26419
64	1828	26301
65	1851	26195
66	1873	26092
67	1895	25984
68	1921	25924
69	1950	25908
70	1978	25889
71	2003	25828
72	2028	25762
73	2054	25707
74	2080	25655
75	2104	25588
76	2117	25386
77	2144	25349
78	2171	25321
79	2198	25285
80	2222	25215
81	2248	25172
82	2277	25159
83	2305	25140
84	2336	25153
85	2365	25138
86	2395	25138
87	2427	25160
88	2461	25195
89	2493	25207
90	2523	25209
91	2554	25213
92	2585	25212
93	2615	25205
94	2641	25165
95	2669	25142
96	2699	25131
97	2725	25090
98	2754	25072
99	2779	25011
100	2805	24973
101	2836	24972
102	2865	24958
103	2896	24957
104	2924	24932
105	2947	24863
106	2970	24795
107	2999	24777
108	3027	24749
109	3056	24725
110	3083	24694
111	3114	24689
112	3145	24694
113	3176	24688
114	3202	24647
115	3228	24600
116	3249	24521
117	3273	24467
118	3293	24386
119	3317	24328
120	3341	24270
121	3363	24209
122	3389	24167
123	3411	24101
124	3439	24075
125	3461	24012
126	3485	23961
127	3508	23903
128	3532	23852
129	3556	23804
130	3579	23742
131	3598	23664
132	3620	23603
133	3647	23571
134	3677	23563
135	3702	23519
136	3721	23443
137	3744	23386
138	3766	23329
139	3787	23266
140	3894	23723
141	3916	23662
142	3937	23600
143	3960	23542
144	3982	23482
145	4004	23421
146	4026	23364
147	4049	23310
148	4071	23253
149	4094	23202
150	4117	23150
151	4139	23095
152	4165	23061
153	4190	23018
154	4214	22977
155	4239	22936
156	4264	22895
157	4291	22870
158	4318	22843
159	4342	22800
160	4369	22769
161	4396	22743
162	4419	22694
163	4441	22641
164	4467	22609
165	4495	22584
166	4524	22567
167	4548	22528
168	4574	22495
169	4599	22455
170	4621	22405
171	4646	22369
172	4671	22329
173	4696	22295
174	4722	22265
175	4748	22232
176	4773	22197
177	4803	22180
178	4829	22150
179	4857	22129
180	4884	22102
181	4912	22077
182	4937	22042
183	4964	22016
184	4989	21980
185	5018	21963
186	5043	21928
187	5070	21898
188	5096	21868
189	5120	21829
190	5147	21802
191	5172	21768
192	5200	21744
193	5225	21709
194	5252	21681
195	5276	21642
196	5300	21604
197	5323	21561
198	5347	21524
199	5369	21477
200	5393	21440
201	5417	21402
202	5440	21358
203	5463	21317
204	5485	21274
205	5511	21243
206	5534	21203
207	5559	21167
208	5583	21131
209	5608	21096
210	5632	21063
211	5654	21018
212	5678	20982
213	5703	20950
214	5728	20916
215	5750	20871
216	5773	20831
217	5795	20789
218	5817	20744
219	5839	20704
220	5864	20670
221	5886	20629
222	5910	20593
223	5933	20555
224	5956	20515
225	5979	20478
226	6002	20438
227	6027	20407
228	6057	20395
229	6080	20357
230	6102	20314
231	6126	20280
232	6152	20252
